core_0_pkg core_0_ram core_6_pkg core_6_ram nvd_0 nvd_1
25.684935 1.058771 19.190192 1.108117 143.634000 16.429000
24.054283 1.061103 18.807822 1.110999 110.997000 16.529000
25.564513 1.063989 19.088570 1.104058 142.776000 16.620000
24.284342 1.059223 18.816989 1.109059 112.971000 16.525000
26.361150 1.063917 19.132140 1.102155 140.967000 16.429000
23.949236 1.053957 18.783912 1.106936 114.496000 16.525000
23.200605 1.076715 19.125221 1.106225 139.634000 16.525000
24.070266 1.055463 18.795910 1.106825 117.166000 16.525000
26.010963 1.071021 19.125861 1.104254 136.259000 16.525000
24.017048 1.058518 18.835851 1.107196 124.175000 16.525000
27.222099 1.060958 19.111067 1.105756 133.687000 16.525000
28.032499 1.052665 18.845516 1.107172 126.847000 16.525000
26.111654 1.062604 19.102133 1.103434 134.643000 16.525000
23.960156 1.052470 18.835906 1.102797 129.897000 16.525000
26.377929 1.067336 19.141156 1.099439 136.642000 16.620000
23.991042 1.054256 18.812600 1.107176 130.911000 16.525000
26.914598 1.067376 19.122006 1.104086 140.588000 16.620000
26.940806 1.050676 18.826466 1.107107 132.055000 16.620000
27.072574 1.072172 19.135842 1.108697 145.159000 16.525000
23.634591 1.050871 18.836376 1.109227 132.506000 16.620000
26.691400 1.076376 19.145631 1.106311 144.837000 16.525000
23.739706 1.038942 19.043043 1.106329 133.460000 16.620000
23.678223 1.081450 19.048517 1.108792 144.871000 16.333000
23.296749 1.051337 18.921255 1.108714 133.364000 16.525000
24.932533 1.073060 19.231711 1.102447 142.741000 16.524000
23.514975 1.051575 20.080755 1.097262 133.460000 16.525000
23.976074 1.079499 19.956616 1.106902 147.131000 16.525000
22.976476 1.046415 19.830761 1.102143 134.795000 16.524000
24.375793 1.077872 19.514337 1.109153 146.617000 16.525000
22.926315 1.049908 19.857187 1.106364 135.939000 16.620000
24.395856 1.077859 19.510135 1.102456 146.807000 16.525000
22.906372 1.051571 19.853009 1.102046 138.106000 16.525000
24.176664 1.073436 19.254251 1.106945 145.123000 16.524000
23.302763 1.043270 19.088821 1.104122 139.849000 16.620000
26.551733 1.076858 18.826374 1.104813 144.939000 16.429000
23.380028 1.044569 19.148772 1.108564 142.388000 16.525000
24.251409 1.079289 18.810622 1.104710 144.265000 16.524000
23.087447 1.049920 19.161354 1.101922 137.563000 16.525000
24.553316 1.070384 18.794744 1.107006 143.255000 16.716000
